,image,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,Team,draft_age,year,draft_pick,,drop,yacpcnum,yacpc,adotnum,adot,tpmtnum,tpmt,ccnum,cc,mannum,man,pffnum,pff,yprr_p,yprr,,tprr_p,tprr,open_p,open,catch_p,name,catch,yac,yac_p,draft_agep,htp,ht,wtp,wt,dashp,dash,vertp,vert,broadp,broad,conep,cone,shuttlep,shuttle,rasp,ras,breakoutagep,breakout_age,best_ppg ,hs,freshr,freshrp,freshy,freshyp,fresht,freshtp,sophr,sophrp,sophy,sophyp,sopht,sophtp,junr,junrp,juny,junyp,junt,juntp,senr,senrp,seny,senyp,sent,sentp,senrr,senrrp,senrry,senrryp,senrrt,senrrtp,best_ppgp,years_removed,adp,adpp
101,https://static.www.nfl.com/image/private/t_editorial_landscape_mobile/f_auto/league/tdixulojbj0bb6dvinqk,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Stanford_Cardinal_logo.svg/304px-Stanford_Cardinal_logo.svg.png,Stanford,23.4,2021,179,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.38,2.23,,0.31,0.23,0.404,86,0.461,Simi Fehoko,83,77,0.298,0.073,0.914,6037,0.878,222,0.531,4.44,0.221,34.5,0.118,120,0.836,6.78,0.44,4.26,0.757,9.18,0.138,21.8,1.01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0.079,18,0.169,33.3,0.551,25.5,0.586,33.4,0.724,42.9,0.828,0.138,"2,3",45,0.103
102,https://a.espncdn.com/combiner/i?img=/i/headshots/recruiting/ncf/players/full/208716.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Oklahoma_State_University_system_logo.svg/1200px-Oklahoma_State_University_system_logo.svg.png,Oklahoma State,21.9,2021,131,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.908,3.13,,0.93,0.31,0.83,98,0.688,Tylan Wallace,92,91,0.624,0.511,0.336,5113,0.409,194,0.313,4.5,0.074,33,0.022,112,0.562,6.97,0.507,4.25,0.087,4.71,0.768,19.3,0.95,4,5.6,0.486,6.1,0.472,0,0,37.4,0.965,37.2,0.951,36.4,0.852,33.1,0.908,44.8,0.972,49.4,0.922,31.4,0.888,49,1,37.5,0.742,,,,,,,0.129,"2,3",30,0.362
103,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4037591.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Virginia_Cavaliers_logo.svg/800px-Virginia_Cavaliers_logo.svg.png,Virginia,22.3,2020,151,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.021,1.56,,0.127,0.2,0.007,45,0.319,Joe Reed,74,94,0.709,0.299,0.483,6004,0.913,224,0.438,4.47,0.684,38,0.323,123,,-,,-,0.796,9.35,0.348,20.7,0.09,4,0.2,0.239,0.9,0.246,0,0,8.3,0.232,8.2,0.232,8.8,0.232,11,0.128,17,0.213,26.9,0.475,24.7,0.618,18.1,0.191,30.4,0.494,,,,,,,0.121,1,45,0.103
104,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3051857.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Missouri_Tigers_logo.svg/1200px-Missouri_Tigers_logo.svg.png,Missouri,22.9,2018,133,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.775,2.85,,0.62,0.26,0.766,96,0.404,J'Mon Moore,79,84,0.411,0.139,0.802,6025,0.678,207,0.031,4.6,0.684,38,0.118,120,0.986,6.56,0.947,4.04,0.563,8.43,0.507,20.3,0,5,0,0,0,0,0,0,0.5,0.092,0.9,0.099,0,0,17,0.333,19.2,0.284,34.1,0.695,24.9,0.64,28.5,0.596,32,0.539,26.3,0.621,27,0.414,22.7,0.414,0,0,39,0.198
107,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4036026.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Louisville_Cardinals_logo.svg/1200px-Louisville_Cardinals_logo.svg.png,Louisville,23.3,2021,109,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.197,2.01,,0.176,0.21,0.66,93,0.17,Dez Fitzpatrick,62,89,0.553,0.088,0.716,6016,0.696,208,0.333,4.49,0.295,35,,-,0.342,7.06,0.533,4.25,0.689,8.81,0.667,19.7,0,5,0,0,0,0,0,0,17.6,0.577,19.5,0.493,34.1,0.803,16.1,0.291,18.2,0.227,34.1,0.695,39.3,0.978,20.9,0.247,19.4,0.213,21.3,0.379,31.1,0.655,15,0.103,0,0,45,0.06
112,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4029893.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Liberty_Flames_logo.svg/1200px-Liberty_Flames_logo.svg.png,Liberty,22,2020,142,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.704,2.72,,0.866,0.29,0.66,93,0.801,Antonio Gandy-Golden,95,81,0.34,0.438,0.931,6040,0.896,223,0.031,4.6,0.421,36,0.667,127,0.041,7.33,0.013,4.55,0.194,6.13,0.746,19.4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,31.6,0.872,36.1,0.872,50.5,0.936,31,0.865,37.6,0.888,34.5,0.596,,,,,,,0,0,38,0.233
115,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3134302.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/UCLA_Bruins_primary_logo.svg/1200px-UCLA_Bruins_primary_logo.svg.png,UCLA,21.4,2018,162,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.915,3.15,,0.62,0.26,0.589,91,0.191,Jordan Lasley,64,75,0.284,0.679,0.603,6010,0.548,203,,-,,-,,-,,-,,-,0.058,4.47,0.63,19.8,0,4,0,0,0,0,0,0,1.1,0.106,0.7,0.092,0,0,16.3,0.298,19.1,0.27,25.3,0.454,29.5,0.82,40.8,0.944,41.7,0.809,,,,,,,0,0,43,0.129
113,https://a.espncdn.com/combiner/i?img=/i/headshots/recruiting/ncf/players/full/166184.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/1200px-Baylor_Athletics_logo.svg.png,Baylor,23.2,2019,67,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.239,2.1,,0.401,0.24,0.553,90,0.206,Jalen Hurd,65,58,0.17,0.088,0.983,6045,0.939,226,,-,,-,,-,,-,,-,0.485,8.21,0.029,22.6,0,5,12.5,0.761,7.5,0.521,8.7,0.585,10,0.268,7.4,0.211,11.8,0.296,7.8,0.099,4.9,0.078,13,0.199,0,0,0,0,0,0,25.2,0.517,27.2,0.448,19.6,0.31,0,0,34,0.302
105,https://www.playerprofiler.com/wp-content/uploads/2021/01/jaelon-darden-advanced-stats.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/North_Texas_Mean_Green_logo.svg/1200px-North_Texas_Mean_Green_logo.svg.png,North Texas,22.2,2021,129,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.542,2.51,,0.901,0.3,0.518,89,0.092,Jaelon Darden,44,96,0.773,0.401,0.009,5075,0.07,174,0.469,4.46,0.347,35.5,0.258,122,0.918,6.67,0.853,4.1,0.35,7.15,0.37,20.6,0,4,10.5,0.648,7.4,0.514,10,0.62,15.2,0.444,14.5,0.366,14.3,0.38,26.9,0.752,21.6,0.376,36.4,0.738,44.4,1,46.7,0.978,75.4,1,,,,,,,0,"1,2",44,0.129
116,https://www.playerprofiler.com/wp-content/uploads/2019/02/Hakeem-Butler-1.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Iowa_State_Cyclones_logo.svg/800px-Iowa_State_Cyclones_logo.svg.png,Iowa State,22.9,2019,103,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.739,2.78,,0.401,0.24,0.482,88,0.142,Hakeem Butler,60,95,0.738,0.168,0.991,6055,0.957,227,0.375,4.48,0.421,36,0.71,128,,-,,-,0.825,9.47,0.217,21.3,0,4,0,0,0,0,0,0,5.8,0.197,6.5,0.19,13.9,0.366,13.7,0.199,19.6,0.291,25.9,0.468,25.3,0.663,42.1,0.955,45,0.876,,,,,,,0,0,10,0.819
117,https://www.playerprofiler.com/wp-content/uploads/2019/02/Gary-Jennings.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/West_Virginia_Mountaineers_logo.svg/1200px-West_Virginia_Mountaineers_logo.svg.png,West Virginia,,2019,120,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.528,2.45,,0.62,0.26,0.447,87,0.73,Gary Jennings,93,51,0.106,,0.603,6010,,,,,,,0.667,127,,,,,0.728,9.04,0.406,20.5,0,4,3.2,0.366,4.2,0.43,7.5,0.549,4.5,0.169,5.2,0.155,14.1,0.373,33.1,0.908,27.2,0.582,2.7,0.071,20.2,0.315,23.4,0.315,36.9,0.719,,,,,,,0,0,45,0.043
114,https://www.playerprofiler.com/wp-content/uploads/2022/03/Collin-Johnson.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/1280px-Texas_Longhorns_logo.svg.png,Texas,,2020,165,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.148,1.94,,0.176,0.21,0.262,79,0.922,Collin Johnson,99,53,0.142,,0.991,6055,0.878,222,,-,,-,,-,,-,,-,,-,#N/A,,0,4,15.5,0.845,13.9,0.754,18.5,0.803,18.3,0.62,23,0.599,11.1,0.268,23.7,0.596,29.4,0.688,26.9,0.475,23.1,0.483,27.6,0.551,17.1,0.18,,,,,,,0,0,45,0.06
106,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4035465.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Clemson_Tigers_logo.svg/1200px-Clemson_Tigers_logo.svg.png,Clemson,23.4,2021,181,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.113,1.88,,0.127,0.2,0.177,69,0.333,Cornell Powell,75,72,0.248,0.015,0.448,6002,0.574,204,0.177,4.53,0.516,36.5,0.71,128,0.466,7.03,0.627,4.21,0.398,7.57,0.022,22.9,0,5,2.3,0.331,4.1,0.423,0,0,2.1,0.12,2.1,0.113,6,0.197,3,0.057,4.4,0.071,0,0,8.5,0.067,5.2,0.045,3.9,0.056,16.4,0.172,21.2,0.172,22.6,0.379,0,0,41,0.172
109,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4689546.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/SMU_Mustang_logo.svg/1200px-SMU_Mustang_logo.svg.png,SMU,22.8,2022,105,,0.033,8.6,0.922,10.9,0.344,5.44,0.525,57.1,0.75,87.5,0.906,77.6,0.391,0.514,2.44,,0.401,0.24,0.135,63,0.057,Danny Gray,40,89,0.553,0.19,0.397,5117,0.261,186,0.896,4.33,0.189,34,0.613,126,0,7.38,0.213,4.37,0.262,6.76,0.196,21.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14.9,0.248,15.7,0.191,19.3,0.34,18.8,0.258,26.4,0.483,27.3,0.427,,,,,,,0,0,45,0.078
110,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Erik-Ezukanma-WR-TexasTech.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Texas_Tech_Athletics_logo.svg/1200px-Texas_Tech_Athletics_logo.svg.png,Texas Tech,21.9,2022,125,,0.262,7.8,0.875,11.8,0.484,4.27,0.787,56.3,0.719,60.4,0.094,74,0.219,0.282,2.14,,0.176,0.21,0.078,58,0.376,Erik Ezukanma,78,95,0.738,0.489,0.741,6017,0.722,209,0.135,4.55,0.516,36.5,0.613,126,0.205,7.2,0.213,4.38,0.311,7.03,0.37,20.6,0,4,3.3,0.38,6.8,0.493,21.7,0.838,12.4,0.359,17.2,0.465,16.7,0.465,17.8,0.376,28,0.61,33,0.645,23.1,0.483,25,0.393,26,0.371,,,,,,,0,0,45,0.078
111,https://www.playerprofiler.com/wp-content/uploads/2022/02/justin-shorter-advanced-stats.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Florida_Gators_gator_logo.svg/1200px-Florida_Gators_gator_logo.svg.png,Florida,22.7,2023,150,,1,3,0.031,17.7,0.969,29,0.016,50,0.5,81.5,0.797,75.2,0.25,0.014,1.55,,0.014,0.18,0.05,54,0.688,Justin Shorter,92,37,0.014,0.241,0.966,6042,0.991,229,0.115,4.55,0.347,35.5,0.613,126,0.014,7.35,0.107,4.46,0.456,7.94,0.058,22.4,0,5,1,0.289,1.2,0.268,0,0,7.2,0.218,6.2,0.176,0,0,7.8,0.099,5.9,0.085,6.5,0.113,15.5,0.135,16.6,0.124,11.1,0.112,21.1,0.345,28.6,0.517,15.9,0.138,0,1,50,0
108,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4248822.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Samford_Bulldogs_logo.svg/1200px-Samford_Bulldogs_logo.svg.png,Samford,21.8,2022,162,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.127,1.91,,0.07,0.19,0,41,0.007,Montrell Washington,28,41,0.035,0.533,0.095,5087,0.165,181,0.375,4.48,0.421,36,,-,0.151,7.25,0.333,4.32,0.049,4.32,0.254,21.1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,45,0.078
118,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4432708.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,Ohio State,21.6,2024,none,,0.246,6.4,0.563,13.1,0.625,13.4,0.115,43.3,0.391,82.3,0.828,89.6,0.891,0.852,2.98,,0.809,0.28,0.95,100,0.922,Marvin Harrison Jr.,99,82,0.362,0.584,,,,,,,,,,,,,,,,,0.551,20.1,,3,3.2,0.366,2.8,0.366,6.5,0.542,18.8,0.634,32.6,0.859,33.3,0.782,26.3,0.738,34.6,0.83,58.3,0.979,,0,,0,,0,,,,,,,0,,,
119,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4595348.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/2560px-LSU_Athletics_logo.svg.png,LSU,20.8,2024,none,,0.607,6.6,0.625,12.2,0.531,2.97,0.984,45.5,0.453,90.5,0.984,92.9,1,0.789,2.87,,0.62,0.26,0.83,98,0.816,Malik Nabers,96,100,0.95,0.927,,,,,,,,,,,,,,,,,0.507,20.1,,3,10.8,0.683,12.6,0.711,12.5,0.683,22.4,0.732,27,0.739,13,0.345,31.1,0.865,35.6,0.851,35,0.723,,0,,0,,0,,,,,,,0,,,
131,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4431492.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Michigan_Wolverines_logo.svg/1200px-Michigan_Wolverines_logo.svg.png,Michigan,22.8,2024,none,,0.934,4.2,0.203,14.3,0.766,22.5,0.033,42.9,0.359,76.2,0.516,84.5,0.688,0.43,2.31,,0.239,0.22,0.794,97,0.567,Roman Wilson,89,71,0.234,0.19,,,,,,,,,,,,,,,,,0.094,22.1,,4,21.1,0.901,26.7,0.937,11.1,0.662,10.9,0.296,14.1,0.359,15.4,0.415,12.2,0.156,14.2,0.17,19.6,0.355,18.5,0.247,24.6,0.382,50,0.91,,,,,,,0,,,
132,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4683062.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/1280px-Texas_Longhorns_logo.svg.png,Texas,21,2024,none,,0.525,7.6,0.859,10.3,0.219,5.77,0.492,23.8,0.078,66.4,0.266,68.8,0.063,0.408,2.27,,0.803,0.28,0.702,94,0.617,Xavier Worthy,91,93,0.681,0.876,,,,,,,,,,,,,,,,,0.949,18.4,,3,28.6,0.972,36.3,1,41.4,0.979,24.3,0.803,24.2,0.669,40.9,0.923,23.7,0.596,25,0.489,20,0.362,,0,,0,,0,,,,,,,0,,,
127,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4428678.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Louisville_Cardinals_logo.svg/1200px-Louisville_Cardinals_logo.svg.png,Louisville,23.4,2024,none,,0.443,6.6,0.625,11.1,0.359,3.71,0.902,15.8,0.016,72.4,0.391,78.3,0.453,0.563,2.52,,0.521,0.25,0.66,93,0.355,Jamari Thrash,76,98,0.858,0.015,,,,,,,,,,,,,,,,,0.029,22.7,,5,2.3,0.331,1.5,0.296,0,0,5.6,0.183,7.8,0.225,12.3,0.317,17.8,0.376,21.5,0.369,15.8,0.241,35,0.944,45.9,0.966,38.9,0.764,27.6,0.724,30.2,0.586,31.3,0.655,0,,,
125,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4575665.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Arizona_Wildcats_logo.svg/1200px-Arizona_Wildcats_logo.svg.png,Arizona,23.1,2024,none,,0.607,5.8,0.375,6.7,0.016,11.1,0.213,30.8,0.156,74.5,0.453,77.4,0.375,0.563,2.52,,0.803,0.28,0.66,93,0.191,Jacob Cowing,64,94,0.709,0.088,,,,,,,,,,,,,,,,,0.928,18.6,,5,17.5,0.866,24,0.908,33.3,0.951,32.5,0.937,41.3,0.979,42.9,0.944,34.5,0.922,41.3,0.936,36.8,0.745,30,0.843,27.1,0.517,26.9,0.404,27.1,0.69,35,0.828,27.8,0.552,0,,,
129,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4431299.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Washington_Huskies_logo.svg/1200px-Washington_Huskies_logo.svg.png,Washington,21.9,2024,none,,0.836,5.3,0.313,15.6,0.891,6.69,0.377,74.1,0.984,88.4,0.922,89.1,0.859,0.542,2.51,,0.62,0.26,0.631,92,0.759,Rome Odunze,94,80,0.319,0.489,,,,,,,,,,,,,,,,,0.768,19.3,,4,8.8,0.585,7.9,0.549,0,0,16.9,0.521,15.4,0.394,26.7,0.662,21.8,0.532,25.8,0.553,28.1,0.518,24.4,0.584,31.8,0.73,34.2,0.573,,,,,,,0,,,
122,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4431280.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/f/f8/Oregon_Ducks_logo.svg,Oregon,21.1,2024,none,,0.131,6.6,0.625,12.8,0.594,5.79,0.475,36.8,0.266,78.9,0.656,85,0.719,0.669,2.63,,0.401,0.24,0.589,91,0.426,Troy Franklin,81,86,0.461,0.818,,,,,,,,,,,,,,,,,0.449,20.4,,3,6.9,0.535,6.7,0.486,10,0.62,19.8,0.662,24.1,0.655,30,0.725,20.4,0.482,28.5,0.638,28.6,0.532,,0,,0,,0,,,,,,,0,,,
128,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4696882.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/North_Carolina_Tar_Heels_logo.svg/1200px-North_Carolina_Tar_Heels_logo.svg.png,North Carolina,22.8,2024,none,,0.443,2.8,0,18.2,0.984,20.5,0.049,58.8,0.813,56.5,0.016,68.3,0.047,0.563,2.52,,0.401,0.24,0.553,90,0.511,Devontez Walker,86,44,0.064,0.19,,,,,,,,,,,,,,,,,0.094,22.1,,4,0,0,0,0,0,0,3.4,0.141,6.3,0.183,8.3,0.225,29.9,0.823,35.7,0.865,64.7,1,22.8,0.427,29.2,0.64,27,0.416,,,,,,,0,,,
123,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4612826.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Georgia_Athletics_logo.svg/1200px-Georgia_Athletics_logo.svg.png,Georgia,22.4,2024,none,,0.508,6.3,0.516,12.2,0.531,3.3,0.951,40,0.281,60.3,0.078,82.6,0.594,0.627,2.57,,0.401,0.24,0.482,88,0.184,Ladd McConkey,63,92,0.645,0.299,,,,,,,,,,,,,,,,,0.138,21.7,,4,0,0,0,0,0,0,12.8,0.38,12.9,0.303,12.8,0.331,17.2,0.348,20.2,0.312,34.4,0.709,14.2,0.124,17.4,0.146,9.7,0.09,,,,,,,0,,,
126,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4686104.png,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Florida_State_Seminoles_logo.svg/1200px-Florida_State_Seminoles_logo.svg.png,Florida State,22.9,2024,none,,0.098,3.8,0.109,13.8,0.656,4.56,0.77,40,0.281,65.3,0.219,74,0.219,0.563,2.52,,0.62,0.26,0.482,88,0.17,Johnny Wilson,62,84,0.411,0.139,,,,,,,,,,,,,,,,,0.072,22.2,,4,11.8,0.739,11.5,0.669,0,0,15.2,0.444,15.8,0.423,22.2,0.585,17.3,0.355,25.5,0.532,17.9,0.277,22,0.382,24.5,0.371,11.1,0.112,,,,,,,0,,,
138,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4428532.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Texas_A%26M_University_logo.svg/2492px-Texas_A%26M_University_logo.svg.png,Texas A&M,22.9,2024,none,,0.951,6.7,0.672,10.4,0.234,2.65,1,55.6,0.688,72.5,0.406,79.3,0.484,0.169,1.99,,0.31,0.23,0.447,87,0.262,Ainias Smith,69,100,0.95,0.139,,,,,,,,,,,,,,,,,0.768,19.3,,5,8.7,0.577,8.8,0.592,14.7,0.739,22.6,0.746,24.1,0.655,30,0.725,22.8,0.574,20.5,0.333,31.6,0.624,20.5,0.36,33.2,0.775,33.3,0.551,19.3,0.276,22.6,0.241,8.3,0.034,0,,,
135,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4427225.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,Ole Miss,23.6,2024,none,,0,,#N/A,,#N/A,,#N/A,,0,,#N/A,,#N/A,0.296,2.18,,0.521,0.25,0.333,83,0.617,Zakhari Franklin,91,93,0.681,0.015,,,,,,,,,,,,,,,,,0.029,22.9,,5,23.8,0.908,30,0.965,30.3,0.923,26.5,0.838,34.7,0.915,53.8,0.986,30.2,0.837,34.1,0.816,41.9,0.83,27.6,0.753,27.1,0.517,44.1,0.854,5.1,0,3.3,0,12.5,0.069,0,,,
136,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4430834.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Washington_Huskies_logo.svg/1200px-Washington_Huskies_logo.svg.png,Washington,22.2,2024,none,,0.066,7.1,0.766,10,0.188,6.5,0.393,0,0,62.5,0.172,73.2,0.203,0.254,2.11,,0.31,0.23,0.333,83,0.298,Jalen McMillan,73,83,0.39,0.372,,,,,,,,,,,,,,,,,0.196,21.5,,4,1.5,0.324,1.8,0.303,0,0,17.5,0.57,19,0.479,21,0.556,21.2,0.518,22.7,0.404,28.1,0.518,16.3,0.169,14.8,0.101,18.2,0.202,,,,,,,0,,,
170,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4569603.png,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Virginia_Cavaliers_sabre.svg/1200px-Virginia_Cavaliers_sabre.svg.png,Virginia,22.9,2024,none,,0.9,6.4,0.56,8.1,0.063,3.17,0.95,64.7,0.906,89.1,0.94,92.4,0.97,0.0296,2.18,,0.51,0.26,0.305,82,0.759,Malik Washington,94,100,0.95,0.17,,,,,,,,,,,,,,,,,0.1,22,,5,3.8,0.43,1.8,0.303,0,0,2.8,0.134,2.9,0.134,0,0,21.1,0.511,27.2,0.582,15.4,0.22,26.5,0.719,27.6,0.551,10,0.101,44.3,1,47.4,0.931,47.3,0.897,0,,,
133,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4429033.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/2048px-Alabama_Crimson_Tide_logo.svg.png,Alabama,22.8,2024,none,,0.984,3.4,0.078,20.2,1,13,0.148,56.3,0.719,68.5,0.328,82,0.547,0.352,2.22,,0.014,0.18,0.305,82,0.922,Jermaine Burton,99,53,0.142,0.19,,,,,,,,,,,,,,,,,0.094,22.1,,4,25.2,0.937,16.2,0.789,15.8,0.761,9.8,0.261,13.2,0.317,12.8,0.331,14.3,0.22,18.5,0.248,18.9,0.326,18.8,0.258,25.9,0.438,34.8,0.618,,,,,,,0,,,
142,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4597500.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/1280px-Texas_Longhorns_logo.svg.png,Texas,22.6,2024,none,,0.967,3.2,0.063,16,0.906,9.12,0.262,36.4,0.234,66.8,0.297,71.8,0.141,0.056,1.75,,0.07,0.19,0.305,82,0.73,Adonai Mitchell,93,37,0.014,0.241,,,,,,,,,,,,,,,,,0.123,21.9,,4,11,0.704,11.3,0.662,10.5,0.655,6.7,0.204,7.5,0.218,23.8,0.599,17.4,0.362,20.9,0.355,44,0.858,,0,,0,,0,,,,,,,0,,,
141,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4635008.png&w=350&h=254,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Florida_State_Seminoles_logo.svg/1200px-Florida_State_Seminoles_logo.svg.png,Florida State,21,2024,none,,0.803,6.3,0.516,12.4,0.563,5,0.639,33.1,0.172,67.1,0.313,70.3,0.109,0.099,1.87,,0.31,0.23,0.227,75,0.887,Keon Coleman,98,80,0.319,0.861,,,,,,,,,,,,,,,,,0.493,20.3,,3,3.7,0.415,2,0.324,4.8,0.507,22.5,0.739,27.7,0.761,30.4,0.739,22.4,0.56,21.8,0.383,50.9,0.943,,0,,0,,0,,,,,,,0,,,
172,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4428209.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Florida_Gators_gator_logo.svg/1200px-Florida_Gators_gator_logo.svg.png,Florida,24,2024,none,,0,5.8,0.375,11.1,0.359,7.22,0.641,50,0.5,71.9,0.375,77.8,0.406,0.386,2.23,,0.07,0.19,0.199,72,0.496,Ricky Pearsall,85,70,0.227,0.069,,,,,,,,,,,,,,,,,0.1,22,,5,3,0.352,4,0.415,0,0,11.8,0.338,11.1,0.275,20,0.514,23.3,0.589,22.9,0.418,33.3,0.66,16.6,0.18,22.7,0.292,22.8,0.27,23,0.414,31,0.621,20,0.345,0,,,
